<2024-03-29 11:08:24,022> [DEBUG]: Using proactor: IocpProactor
<2024-03-29 11:08:25,102> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:25,510> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:26,513> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:26,907> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:27,908> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:28,303> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:29,301> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:29,697> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:30,700> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:31,094> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:32,084> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:32,478> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:33,470> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:33,869> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:34,863> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:35,213> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:36,234> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:36,632> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:37,636> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:38,028> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:39,028> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:39,510> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:40,502> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:40,898> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:41,901> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:42,298> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:43,308> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:43,773> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:44,777> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:45,174> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:46,202> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:46,597> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:47,600> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:47,997> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:48,994> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:49,392> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:50,417> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:50,818> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:51,809> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:52,206> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:53,206> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:53,602> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:54,624> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:55,019> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:56,037> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:56,439> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:57,441> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:57,834> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:08:58,852> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:08:59,251> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:00,275> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:00,671> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:01,665> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:02,063> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:03,047> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:03,446> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:04,447> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
